Date,Price,Action,TradeShares,Shares,Balance,TotalValue,BaselineValue,Confidence
2012-06-21,54.80278778076172,Hold,0,2677,56.129717092238366,146114.01385290708,141728.47836975165,0.9992557168006897
2012-06-22,54.46282196044922,Hold,0,2677,56.129717092238366,145207.95249354735,140849.4939281165,0.9997316002845764
2012-06-25,54.12287139892578,Hold,0,2677,56.129717092238366,144301.9318012145,139970.54893820678,0.9998859167098999
2012-06-26,53.51091384887695,Hold,0,2677,56.129717092238366,142670.97052058336,138388.32762860678,0.9999061822891235
2012-06-27,53.918888092041016,Hold,0,2677,56.129717092238366,143758.28481884193,139443.14841029435,0.9998018145561218
2012-06-28,54.32684326171875,Hold,0,2677,56.129717092238366,144845.5482833169,140497.91987732516,0.9987902045249939
2012-06-29,55.27875518798828,Hold,0,2677,56.129717092238366,147382.54042303763,142959.0960397662,0.9950289130210876
2012-07-02,56.63862991333008,Hold,0,2677,56.129717092238366,151006.81636074677,146475.0633951008,0.9867947697639465
2012-07-03,57.25055694580078,Hold,0,2677,56.129717092238366,152637.69630732413,148057.20580124998,0.728425145149231
2012-07-04,57.25018310546875,Hold,0,2677,56.129717092238366,152636.69996516505,148056.23923397798,0.752106249332428
2012-07-05,57.109161376953125,Hold,0,2677,56.129717092238366,152260.85530254373,147691.62638794602,0.7788534164428711
2012-07-06,57.03868103027344,Hold,0,2677,56.129717092238366,152073.0143052869,147509.39886838084,0.9717649221420288
2012-07-09,56.40412139892578,Hold,0,2677,56.129717092238366,150381.81499105826,145868.73969055052,0.9710226058959961
2012-07-10,55.76958465576172,Hold,0,2677,56.129717092238366,148690.67667736998,144228.13969030828,0.9666311740875244
2012-07-11,55.06454086303711,Hold,0,2677,56.129717092238366,146811.6261991278,142405.24312998142,0.9899515509605408
2012-07-12,53.37242126464844,Hold,0,2677,56.129717092238366,142301.8664176709,138030.25390605783,0.9873840808868408
2012-07-13,53.44291687011719,Hold,0,2677,56.129717092238366,142489.74808195466,138212.52087734843,0.9914931654930115
2012-07-16,53.23140335083008,Hold,0,2677,56.129717092238366,141926.03192180634,137665.65092295723,0.9930543303489685
2012-07-17,52.73786544799805,Hold,0,2677,56.129717092238366,140610.67727019903,136389.60459115886,0.9889983534812927
2012-07-18,52.73786544799805,Hold,0,2677,56.129717092238366,140610.67727019903,136389.60459115886,0.9912018775939941
2012-07-19,54.64149856567383,Hold,0,2677,56.129717092238366,145684.1532118042,141311.46376947366,0.9891448616981506
2012-07-20,54.07746887207031,Hold,0,2677,56.129717092238366,144180.92706266986,139853.16032931604,0.9747582674026489
2012-07-23,52.38534164428711,Hold,0,2677,56.129717092238366,139671.14694769954,135478.15137952977,0.9816492199897766
2012-07-24,52.73786544799805,Hold,0,2677,56.129717092238366,140610.67727019903,136389.60459115886,0.9896329641342163
2012-07-25,52.596866607666016,Hold,0,2677,56.129717092238366,140234.89360811806,136025.050922715,0.9879008531570435
2012-07-26,53.79543685913086,Hold,0,2677,56.129717092238366,143429.26823769743,139123.96422604617,0.973287045955658
2012-07-27,55.910606384277344,Hold,0,2677,56.129717092238366,149066.52133999128,144592.75253634024,0.9636814594268799
2012-07-30,55.699092864990234,Hold,0,2677,56.129717092238366,148502.80517984295,144045.88258194903,0.8798785209655762
2012-07-31,57.109161376953125,Hold,0,2677,56.129717092238366,152260.85530254373,147691.62638794602,0.743316650390625
2012-08-01,56.40412139892578,Hold,0,2677,56.129717092238366,150381.81499105826,145868.73969055052,0.510423481464386
2012-08-02,56.40412139892578,Hold,0,2677,56.129717092238366,150381.81499105826,145868.73969055052,0.7752867937088013
2012-08-03,56.26313400268555,Hold,0,2677,56.129717092238366,150006.06182924748,145504.2156109007,0.9139090180397034
2012-08-06,57.03868103027344,Hold,0,2677,56.129717092238366,152073.0143052869,147509.39886838084,0.9807628393173218
2012-08-07,57.39120864868164,Hold,0,2677,56.129717092238366,153012.55479454307,148420.8619429413,0.9830068349838257
2012-08-08,56.756675720214844,Hold,0,2677,56.129717092238366,151321.42664761152,146780.2718056304,0.9931473135948181
